year,car_age,milage,car_price
2000,23,45715,24477
2000,23,142664,13995
2000,23,91016,19496
2000,23,85048,18990
2000,23,99667,17999
2000,23,30298,34000
1999,24,68379,24999
1999,24,97080,18995
1999,24,63925,23990
199,24,44372,36800
1998,25,31445,29990
2001,22,47783,27981
2000,23,46021,23990
1998,25,91398,16495
1999,24,73650,17800
